pixels,berat
0.373057,37
0.378302,34
0.421981,34
0.398319,34
0.390025,36
0.390342,33
0.388693,34
0.401305,37
0.364240,36
0.399277,33
0.405225,36
0.427818,34
0.375820,36
0.363911,33
0.384276,36
0.617025,55
0.588602,56
0.580053,56
0.594134,53
0.584322,54
0.601526,55
0.599354,55
0.607910,53
0.596865,56
0.577459,55
0.564691,55
0.594912,53
0.597077,53
0.584589,56
0.599454,53
0.360041,31
0.366418,30
0.364626,32
0.378744,30
0.374830,32
0.366810,31
0.373493,28
0.350739,30
0.356506,28
0.369940,28
0.340261,31
0.347223,28
0.346962,28
0.358497,32
0.370027,28
0.605414,56
0.578280,55
0.615606,54
0.499764,55
0.624012,57
0.547954,58
0.532653,54
0.546547,58
0.550959,57
0.553074,55
0.542323,57
0.557560,57
0.583556,54
0.560808,55
0.568325,58
0.389247,25
0.400938,28
0.384773,29
0.395506,27
0.392103,28
0.413127,25
0.390678,25
0.367557,27
0.362940,29
0.370500,28
0.413445,28
0.401952,27
0.403713,29
0.388027,27
0.405804,25
0.405922,26
0.410271,29
0.367003,40
0.376678,38
0.371937,38
0.381656,36
0.373238,39
0.376666,36
0.377033,38
0.370705,37
0.376902,36
0.387163,38
0.382403,40
0.363226,40
0.360806,37
0.468274,42
0.466780,43
0.453901,43
0.431445,43
0.445152,42
0.490829,42
0.463676,43
0.408772,44
0.465797,43
0.457559,43
0.465891,41
0.454946,44
0.470893,42
0.462338,43
0.454006,45
0.476785,41
0.409823,30
0.387299,31
0.411248,32
0.399433,30
0.380474,29
0.402575,30
0.362872,32
0.377139,33
0.387418,33
0.393416,29
0.383261,29
0.380331,33
0.373580,31
0.396023,31
0.477159,51
0.460309,45
0.499770,44
0.488968,47
0.490356,52
0.475678,47
0.474041,49
0.489043,48
0.473724,46
0.456725,52
0.465592,51
0.504816,49
0.476319,49
0.465579,45
0.494531,41
0.472013,43
0.482261,51
0.380119,35
0.396010,34
0.371047,34
0.401274,37
0.393011,33
0.381737,35
0.400708,33
0.381333,37
0.387250,35
0.388494,36
0.375633,33
0.362872,37
0.405026,34
0.408535,35
0.382913,34
0.373829,33
0.389123,34
0.402904,35
0.287653,30
0.303028,30
0.284878,31
0.282930,29
0.277996,30
0.283297,29
0.280989,29
0.278021,28
0.288449,32
0.276795,31
0.276758,30
0.276602,31
0.288835,32
0.275837,32
0.291983,30
0.273274,28
0.267332,32
0.281729,30
0.271948,32
0.301211,30
0.406333,50
0.370799,52
0.398723,50
0.370039,53
0.376990,50
0.398505,50
0.398605,53
0.411802,53
0.412860,54
0.423680,51
0.438028,54
0.409481,54
0.413756,53
0.403850,53
0.389546,53
0.389882,50
0.399271,53
0.406943,52
0.412972,53
0.390205,54
0.391493,53
0.415840,44
0.398891,43
0.415311,45
0.402357,43
0.446994,46
0.386914,43
0.384892,47
0.393602,43
0.447181,45
0.412262,46
0.445065,47
0.407720,46
0.395880,45
0.399451,44
0.419493,44
0.428259,44
0.409071,43
0.397547,46
0.379758,47
0.434600,63
0.431115,60
0.419362,63
0.412673,62
0.436784,64
0.447504,62
0.429336,61
0.416089,62
0.442937,62
0.419194,63
0.434861,64
0.432515,61
0.448288,61
0.458972,63
0.423282,60
0.417259,63
0.418397,61
0.431122,62
0.281829,24
0.283702,28
0.292114,27
0.280342,28
0.274798,26
0.286676,25
0.286402,27
0.284467,28
0.294161,27
0.280118,24
0.273442,27
0.280305,28
0.276254,27
0.287678,26
0.293738,25
0.269721,25
0.271961,28
0.294429,28
0.383784,41
0.414229,42
0.413669,38
0.408119,41
0.432341,40
0.389869,40
0.379933,41
0.410794,41
0.399513,39
0.400895,38
0.387542,42
0.400148,39
0.404149,38
0.396098,38
0.389670,38
0.388065,39
0.409923,39
0.410894,39
0.407870,39
0.351019,38
0.345207,35
0.350589,38
0.345680,34
0.348430,38
0.344591,36
0.328582,35
0.328053,35
0.348107,36
0.321762,35
0.337100,38
0.362467,37
0.334598,37
0.350272,38
0.336023,35
0.352412,36
0.370967,36
0.364881,37
0.370618,35
0.352381,37
0.453795,53
0.482796,50
0.453776,51
0.435471,52
0.461174,51
0.451387,49
0.453011,51
0.467427,53
0.457746,53
0.455711,53
0.439727,50
0.461865,53
0.435203,51
0.397298,50
0.426312,53
0.426156,53
0.424750,51
0.458997,51
0.468697,52
0.306568,38
0.313954,40
0.304509,41
0.327742,37
0.320263,42
0.319672,41
0.335619,40
0.326510,39
0.333205,39
0.348225,37
0.359798,38
0.324730,42
0.329428,38
0.310413,39
0.333877,38
0.320356,41
0.314028,39
0.316754,39
0.311757,42
0.328258,37
0.336098,42
0.314613,40
